Year,Téléchargement d'albums (M€),Téléchargement de titres (M€),Marché physique (M€),Écoute en flux (M€)
2007,16.1,12.2,1144.4,
2008,17.9,22.8,948.1,
2009,34.1,27.5,857.4,
2010,46.8,42.1,711.2,
2011,57.7,45.7,668.1,
2012,68.3,50.0,617.5,
2013,70.9,47.6,594.2,54.0
2014,58.6,38.2,512.7,72.0
2015,53.4,31.9,476.1,104.0
2016,43.5,25.6,419.6,144.0
2017,36.0,20.6,393.0,239.0
2018,26.5,15.5,313.6,301.0
