Year,Téléchargement d'albums (milliers),Téléchargement de titres (milliers),Ventes d'albums physiques (milliers),Écoute en flux (millions)
2007,2267,11946,74118,
2008,3419,18411,63816,
2009,5243,34989,56462,
2010,6641,41688,48587,
2011,7049,43226,46818,
2012,7961,43590,44813,
2013,7871,38834,41868,9000.0
2014,6436,30800,37126,12000.0
2015,5741,25386,35138,18000.0
2016,4535,20190,30419,28631.0
2017,3726,15983,28548,39078.0
2018,2742,11919,23179,41894.0
