Marché,Nombre de références (milliers),Nombre d'interprètes (milliers),Nombre de labels (milliers),"Part dans le volume des ventes du top 0,1% des références (%)",Nombre d'albums vendus (millions),Chiffre d'affaires (M€)
Marché physique,184,67,12,38,23,314
Téléchargement d'albums,340,372,208,26,3,42
